id,Trunk.diameter..cm.,Dry.AGB.wood..kg.,Dry.weight.leaf..kg.
1,5.7,8.62,0.45
2,5.6,12.24,NA
3,5.5,39.06,3.2
4,5.45,6.53,0.9
5,4.9,28.25,1.59
6,4.6,11.18,0.23
7,4.1,2.28,0.13
8,3.9,2.79,NA
9,3.8,2.99,0.25
10,3.55,2.21,0.37
11,3.32,5.27,0.13
12,3.18,9.49,0.98
13,3.1,4.59,0.37
14,3.02,10.2,0.72
15,2.88,8.26,0.35
16,2.4,1.77,0.17
17,2.2,4.18,0.03
18,2.2,4.73,0.71
19,2.15,5.98,0.29
20,2.1,0.9,0.12
21,2,0.78,0.09
22,2,1.63,0.17
23,2,3.4,0.47
24,1.93,3.06,1.28
25,1.9,0.52,NA
26,1.85,6.39,0.64
27,1.8,0.37,0.05
28,1.8,0.92,0.3
29,1.75,1.09,0.13
30,1.75,0.65,0.12
31,1.7,0.64,0.05
32,1.7,0.8,0.23
33,1.68,0.36,0
34,1.68,0.41,NA
35,1.61,1.39,0.4
36,1.6,1.09,0.23
37,1.6,1.02,0.26
38,1.6,1.16,0.21
39,1.6,0.92,0.23
40,1.53,0.83,0.17
41,1.52,0.29,0.04
42,1.51,0.46,0.04
43,1.5,0.54,1.8
44,1.45,1.77,0.45
45,1.45,1.02,0.38
46,1.45,0.66,0.21
47,1.45,0.16,0.01
48,1.4,0.37,NA
49,1.4,0.11,NA
50,1.35,0.56,0.08
51,1.31,0.49,0.19
52,1.31,0.51,0.09
53,1.3,0.1,0.04
54,1.3,0.68,0.09
55,1.27,0.7,0.25
56,1.27,0.32,NA
57,1.2,0.88,0.14
58,1.2,0.58,0.11
59,1.2,0.5,0.07
60,1.2,1.84,NA
61,1.18,0.58,0.13
62,1.18,0.47,0.1
63,1.16,0.66,0.1
64,1.15,0.54,0.12
65,1.15,0.23,0.07
66,1.15,0.78,0.22
67,1.1,0.24,0.11
68,1.1,0.36,0.19
69,1.1,0.75,0.15
70,1.1,0.85,0.21
71,1.08,0.04,0.43
72,1.05,0.2,0.03
73,1,0.19,0.04
74,1,0.19,0.01
75,1,0.15,0.03
76,1,0.25,0.01
77,1,0.16,0.02
78,23,876.82,45.51
79,16,40.88,4.63
80,11.14,398.6,20.91
81,10,68.03,5.69
82,9.87,231.07,18.63
83,8.28,106.71,7.15
84,8.28,118.99,2.44
85,8,62.27,7.38
86,7,96.53,19.12
87,7,7.38,0.85
88,6,10.7,0.64
89,5,21,1.38
90,5,30.43,1.43
91,5,31.57,5.28
92,5,60.83,12.15
93,5,27.69,1.97
94,5,3.33,0.08
95,4.46,12.58,1.32
96,4.46,1.18,0.13
97,4,21.87,5.42
98,4,35.28,2.03
99,4,21.83,0.76
100,3.82,11.05,1.16
101,3.82,0.43,0.06
102,3.5,0.92,0.17
103,3.5,16.86,1.11
104,3.5,13.72,0.69
105,3.5,10.98,1.48
106,3.5,15.9,5.03
107,3.34,1.14,0.2
108,3.34,0.64,0.08
109,3.18,1.76,0.12
110,3.18,1.86,0.29
111,3,14.14,1.08
112,3,10.96,0.71
113,3,27.47,1.93
114,3,2.08,0.07
115,2.97,87.85,10.42
116,2.8,7.59,1.57
117,2.71,0.43,0.21
118,2.55,0.12,0.01
119,2.55,0.27,0.01
120,2.55,2.23,0.44
121,2.5,4.04,0.4
122,2.5,1.08,0.01
123,2.39,1.29,0.25
124,2.36,0.36,0.12
125,2.23,1.65,0.43
126,2,8.72,1.25
127,2,5.33,0.58
128,2,3.86,0.35
129,2,5.84,0.93
130,2,2.25,0.31
131,2,4.4,0.45
132,2,3.31,0.53
133,2,0.41,0.17
134,2,1.98,0.24
135,2,4.66,0.62
136,2,0.53,0.11
137,2,2.21,0.31
138,2,3.57,0.53
139,2,0.86,0.18
140,2,0.9,0.13
141,1.91,0.1,0.02
142,1.91,3.28,0.38
143,1.91,0.51,0.2
144,1.91,0.22,0.11
145,1.81,0.14,0.07
146,1.75,1.88,0.39
147,1.75,0.92,0.2
148,1.7,0.41,0.16
149,1.7,1.92,0.3
150,1.6,0.61,0.25
151,1.59,1.36,0.02
152,1.5,0.45,0.17
153,1.5,0.2,0.05
154,1.5,1.23,0.04
155,1.43,0.18,0.05
156,1.4,0.39,0.09
157,1.27,0.06,0.02
158,1.27,0.17,0.06
159,1.15,2.2,0.21
160,1.11,9.61,0.97
161,1.1,0.53,0.08
162,1.1,0.43,0.09
163,1.776267005,0.41,0.13
164,3.222054037,0.79,0.14
165,1.856765058,0.69,0.12
166,2.660601136,1.15,0.16
167,1.050843285,0.17,0.05
168,2.419668348,0.53,0.11
169,1.292839782,0.23,0.03
170,1.856765058,0.55,0.29
171,2.178548866,0.42,0.13
172,2.5,0.95,0.2
173,1.615208263,0.19,0.1
174,1.050843285,0.17,0.09
175,1.615208263,0.54,0.1
176,1.856765058,0.52,0.1
177,1.212195275,0.26,0.17
178,1.534647542,0.31,0.14
179,1.615208263,0.24,0.11
180,1.131529782,0.12,0.04
181,1.776267005,0.28,0.06
182,1.050843285,0.21,0.16
183,1.050843285,0.08,0.03
184,1.454065899,0.23,0.06
185,1.615208263,0.26,0.05
186,1.615208263,0.43,0.07
187,2.419668348,0.89,0.12
188,1.212195275,0.13,0.11
189,1.292839782,0.26,0.16
190,13.65,222.23,NA
191,12.3,205.67,NA
192,12.2,196.04,NA
193,7.32,146.12,NA
194,6.86,70.24,NA
195,6.7,154.48,NA
196,5.55,36.39,NA
197,5.54,53.09,NA
198,5.5,94.23,NA
199,4.62,45.21,NA
200,3.77,16.87,NA
201,3.76,19.57,NA
202,3.09,13.76,NA
203,2.75,12.4,NA
204,2.48,8.21,NA
205,2.35,5.19,NA
206,2.21,7.43,NA
207,1.76,2.55,NA
208,11.28,170,NA
209,9.1,100,NA
210,8.74,27,NA
211,8.06,27,NA
212,8.06,31,NA
213,5.29,12,NA
214,3.91,17,NA
215,3.57,13,NA
216,3.39,17,NA
217,3.23,12,NA
218,2.76,8.3,NA
219,2.62,2.5,NA
220,2.45,3,NA
221,1.71,6.3,NA
222,1.34,1.4,NA
223,1.18,1.3,NA
224,1.18,1.3,NA
225,1.615208263,0.08,0.07
226,1.615208263,0.29,0.32
227,1.131529782,0.42,0.12
228,6.014296736,23.28,2.59
229,2.419668348,6.94,0.5
231,2.5,13.91,0.44
241,1.695748078,2.64,0.66
251,1.373463317,0.73,0.27
261,1.776267005,8.91,0.71
271,2.017698611,4.43,0.55
281,1.454065899,2.27,0.63
291,1.373463317,0.95,0.16
301,1.695748078,0.36,0.04
310,10.97888906,236.08,1.89
311,1.373463317,0.78,0.38
321,2.660601136,7.19,0.27
331,1.615208263,10.84,0.24
341,1.615208263,0.96,0.3
351,1.131529782,0.56,0.23
361,1.454065899,0.7,0.22
371,1.937242255,0.37,0.03
381,1.292839782,0.5,0.28
391,1.454065899,0.61,0.19
401,1.695748078,1.31,0.33
410,4.182201124,135.04,2.14
411,1.050843285,0.6,0.26
421,6.173105694,5.69,0.44
431,1.615208263,1.28,0.42
441,1.695748078,4.55,0.42
451,1.856765058,0.97,0.43
461,1.534647542,2.36,0.21
471,1.454065899,0.28,0.05
481,3.622473979,1.97,0.22
491,2.419668348,0.6,0.15
501,1.454065899,0.4,0.09
510,4.820665879,57.11,1.9
511,1.373463317,1.04,0.41
521,5.378258041,4.84,0.48
531,1.776267005,0.65,0.27
541,1.212195275,1.36,0.1
551,1.615208263,0.5,0.12
561,2.339315953,1.5,0.16
571,1.937242255,0.66,0.03
581,2.017698611,4.42,0.64
591,2.419668348,4.57,0.21
601,2.580310924,6.13,0.41
610,4.262080438,28.76,2.18
611,1.292839782,0.93,0.14
621,4.102301414,2.71,1.25
631,1.534647542,0.52,0.05
641,1.050843285,0.25,0.07
651,3.061742082,2.79,0.39
661,1.856765058,0.69,0.4
671,1.131529782,0.64,0.33
681,2.82111949,1.95,0.84
691,1.454065899,2.02,0.34
701,3.061742082,2.93,0.49
710,2.981555188,14.63,2.69
711,1.534647542,8.4,0.17
721,1.292839782,0.5,0.12
731,1.776267005,1.13,0.17
741,3.061742082,1.1,0.25
751,1.615208263,0.51,0.15
761,1.212195275,0.89,0.06
771,3.622473979,2.53,0.48
781,1.212195275,0.31,0.05
791,1.615208263,0.58,0.24
801,1.454065899,0.29,0.09
810,3.061742082,35.51,1.76
811,1.212195275,0.23,0.05
821,3.222054037,2.03,0.37
831,1.212195275,0.53,0.12
841,2.740870653,0.75,0.4
851,1.212195275,0.41,0.4
861,1.050843285,0.7,0.05
871,1.131529782,0.44,0.08
881,1.454065899,0.34,0.09
891,1.292839782,0.78,0.03
901,2.419668348,0.63,0.41
910,3.462367628,14.21,3.56
911,2.660601136,1.45,0.2
921,1.212195275,0.45,0.03
931,1.212195275,0.37,0.06
941,1.534647542,0.68,0.24
951,1.212195275,0.52,0.2
961,3.061742082,0.79,0.39
971,3.222054037,1.59,0.17
981,3.222054037,1.87,0.2
991,1.131529782,0.56,0.13
1001,1.212195275,3.33,0.12
1010,3.702496389,49.1,1.28
1011,1.050843285,0.19,0.01
1021,1.776267005,1.07,0.1
1031,1.615208263,0.52,0.21
1041,2.580310924,0.62,0.34
1051,3.862479757,1.6,0.25
1061,2.580310924,0.68,0.3
1071,1.695748078,0.52,0.33
1081,1.695748078,0.47,0.3
1091,3.222054037,1.02,0.27
1100,4.820665879,64.7,1.56
1101,1.615208263,0.53,0.29
1110,5.616923355,15.65,0.26
1111,1.212195275,0.26,0.18
1121,3.622473979,1.72,0.25
1131,1.454065899,0.5,0.17
1141,1.937242255,0.66,0.2
1151,1.937242255,0.55,0.03
1161,1.454065899,0.34,0.24
1171,2.419668348,0.9,0.37
1181,1.050843285,0.24,0.18
1191,3.222054037,0.67,0.13
1201,1.937242255,0.36,0.31
1210,2.258942797,7.05,0.44
1211,1.050843285,0.08,0.03
1221,1.050843285,0.34,0.12
1231,2.017698611,0.55,0.16
1241,2.580310924,1.09,0.25
1251,1.454065899,0.24,0.04
1261,1.615208263,0.38,0.16
1271,1.695748078,0.49,0.16
1281,3.222054037,1.24,0.18
1291,1.695748078,0.35,0.03
1301,1.212195275,0.35,0.08
1310,6.807542296,110.4,0.44
1311,1.050843285,0.18,0.16
1321,1.050843285,0.12,0.1
1331,3.222054037,0.71,0.2
1341,1.050843285,0.35,0.09
1351,1.615208263,0.44,0.17
1361,1.695748078,0.27,0.17
1371,1.776267005,0.57,0.13
1381,1.615208263,0.26,0.08
1391,1.695748078,0.36,0.04
1401,2.178548866,0.53,0.1
1410,2.419668348,11.4,0.55
1411,2.660601136,1.17,0.26
1421,1.615208263,0.45,0.09
1431,3.222054037,1.2,0.08
1441,1.615208263,0.16,0.07
1451,1.615208263,0.32,0.04
1461,1.695748078,0.61,0.4
1471,1.776267005,0.33,0.02
1481,1.212195275,0.28,0.05
1491,1.212195275,0.13,0.05
1501,1.131529782,0.13,0.08
1510,1.695748078,6.63,1.16
1511,1.212195275,0.13,0.05
1521,1.292839782,0.2,0.13
1531,1.776267005,0.34,0.04
1541,1.615208263,0.32,0.15
1551,2.258942797,0.55,0.38
1561,1.534647542,0.25,0.15
1571,1.212195275,0.17,0.06
1581,1.856765058,0.51,0.09
1591,1.615208263,0.26,0.29
1601,1.615208263,0.33,0.26
1610,2.098134143,9.22,0.65
1611,2.580310924,0.15,0.17
1621,1.212195275,0.19,0.04
1710,2.419668348,12.21,0.58
1810,2.017698611,4.91,0.4
1901,1.292839782,0.2,0.14
1910,1.776267005,1.55,0.14
1911,1.534647542,0.29,0.1
1921,2.017698611,0.83,0.53
1931,1.131529782,0.11,0.09
1941,1.695748078,0.26,0.03
1951,1.050843285,0.11,0.07
1961,1.050843285,0.07,0.03
1971,1.212195275,0.14,0.07
1981,1.615208263,0.25,0.07
1991,1.695748078,0.26,0.07
2001,1.615208263,0.25,0.08
2010,1.695748078,4.48,0.17
2011,1.212195275,0.09,0.05
2021,1.776267005,0.31,0.04
2031,1.050843285,0.06,0.03
2041,1.454065899,0.27,0.03
2051,1.454065899,0.21,0.01
2061,1.212195275,0.09,0.03
2071,1.050843285,0.12,0.08
2081,1.292839782,0.24,0.08
2091,1.131529782,0.06,0.02
2101,1.050843285,0.07,0.04
2110,1.695748078,3.28,0.27
2111,1.292839782,0.09,0.07
2121,1.615208263,0.3,0.14
2131,1.131529782,0.08,0.04
2141,1.050843285,0.05,0.02
2151,1.131529782,0.18,0.12
2161,1.615208263,0.31,0.13
2171,1.050843285,0.08,0.03
2181,1.212195275,0.08,0.02
2191,1.292839782,0.12,0.04
2201,1.212195275,0.26,0.14
2211,1.534647542,0.08,0.08
2221,1.050843285,0.18,0.15
2231,1.212195275,0.1,0.03
2241,1.534647542,0.1,0.03
